@relation trainingData

@attribute cancelled {0, 1}
@attribute weight numeric
@attribute reward numeric
@attribute itemCount numeric

@data
?,23.95,54.18000000000001,5
?,3.28,33.089999999999996,3
?,53.73,207.45999999999998,10
?,3.72,13.48,2
?,44.17,119.51,6
?,43.82,118.81000000000003,8
?,31.54,94.72,5
?,20.69,119.99000000000001,4
?,23.7,116.82,3
?,30.39,91.25999999999999,4
?,15.61,75.78,5
?,5.78,23.04,2
?,38.39,47.3,5
?,29.64,100.97,6
?,11.7,11.08,4
?,33.269999999999996,89.35,4
?,56.870000000000005,224.48,8
?,2.09,5.96,2
?,24.0,84.16,6
?,46.78999999999999,160.76000000000002,5
?,14.71,122.76999999999998,4
?,35.76,189.14,5
?,31.560000000000002,96.75,7
?,27.92,183.77,7
?,20.23,87.69999999999999,4
?,33.85,154.45999999999998,5
?,17.939999999999998,92.58,4
?,24.89,85.48,5
?,3.63,23.259999999999998,3
?,30.64,179.26999999999998,7
?,30.76,98.96000000000001,6
?,27.840000000000003,58.36,5
?,21.2,55.36,4
?,42.63,181.97,5
?,23.79,142.11,5
?,38.54,154.82999999999998,6
?,40.42,125.25999999999999,6
?,15.34,65.9,3
?,7.139999999999999,59.83,3
?,43.12,54.22,6
?,32.14,119.13,7
?,39.44,132.18,6
?,30.490000000000002,117.75,4
?,9.79,54.809999999999995,4
?,60.07000000000001,193.87999999999997,7
?,54.77,165.35,8
?,14.19,49.32,3
?,16.88,15.23,3
?,37.019999999999996,147.14,4
?,18.41,14.629999999999999,3
?,16.19,47.98,5
?,31.71,121.02999999999999,4
?,23.25,148.17000000000002,4
?,23.7,96.7,6
?,22.8,27.4,2
?,21.830000000000002,89.67,4
?,38.05,163.57,8
?,41.089999999999996,112.41000000000001,6
?,32.09,99.01,5
?,33.62,76.41,5
?,31.37,72.10000000000001,5
?,23.990000000000002,96.09,4
?,30.060000000000002,154.34,4
?,43.84,156.0,5
?,34.3,112.6,5
?,52.25,208.32000000000002,8
?,28.139999999999997,55.56999999999999,6
?,41.77,55.36,5
?,30.549999999999997,112.97000000000001,7
?,24.84,48.669999999999995,4
?,31.76,110.46000000000001,4
?,52.11,125.78,8
?,5.8100000000000005,26.21,3
?,8.84,41.65,3
?,28.85,108.44,4
?,35.66,156.94,6
?,23.93,100.46000000000001,6
?,61.599999999999994,214.37,8
?,34.31,82.71,6
?,24.939999999999998,122.55000000000001,6
?,32.97,75.81,4
?,13.14,45.0,2
?,30.709999999999997,179.6,5
?,51.52,135.35000000000002,7
?,56.580000000000005,140.11999999999998,8
?,60.66,119.96,5
?,29.77,134.9,5
?,38.46,117.13,8
?,29.72,98.25,5
?,29.85,123.48,5
?,8.370000000000001,15.62,4
?,12.98,56.379999999999995,5
?,27.68,70.78,5
?,17.55,86.38,5
?,30.71,107.88,6
?,26.99,33.6,5
?,18.34,87.45,5
?,36.01,96.85999999999999,6
?,22.29,141.92,7
?,36.97,164.15999999999997,6
